"";"Andriy Lunin";"Antonio Rudiger";"Brahim Diaz";"Dani Carvajal";"Dani Ceballos";"David Alaba";"Federico Valverde";"Ferland Mendy";"Joselu";"Jude Bellingham";"Lucas Vazquez";"Nacho Fernandez";"Nicolas Paz";"Rodrygo";"Toni Kroos"
"Andriy Lunin";0;0.357;0;0;0;0.357;0;0.286;0;0;0;0;0;0;0
"Antonio Rudiger";0.096;0;0.077;0.135;0;0.231;0.173;0;0;0.019;0;0;0.038;0;0.231
"Brahim Diaz";0;0;0;0.167;0.167;0.056;0.222;0;0;0.111;0;0;0;0.111;0.167
"Dani Carvajal";0.047;0.186;0.14;0;0.163;0;0.163;0;0;0.116;0;0;0.07;0.023;0.093
"Dani Ceballos";0;0.111;0.185;0.074;0;0.074;0.148;0.037;0;0.074;0;0;0;0.074;0.222
"David Alaba";0.049;0.244;0;0;0;0;0.146;0.171;0;0.024;0;0;0;0.024;0.341
"Federico Valverde";0;0.086;0.029;0.086;0.071;0.071;0;0.029;0.014;0.2;0.014;0;0.043;0.071;0.286
"Ferland Mendy";0;0.023;0.023;0;0.023;0.14;0.186;0;0.023;0.163;0;0;0;0.116;0.302
"Joselu";0;0.2;0;0;0;0.2;0.2;0.2;0;0.2;0;0;0;0;0
"Jude Bellingham";0;0.034;0.034;0.102;0.085;0.034;0.068;0.203;0.085;0;0;0.017;0.051;0.153;0.136
"Lucas Vazquez";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Nacho Fernandez";0;0;0;0;0;0;0;0;0;0.5;0;0;0.5;0;0
"Nicolas Paz";0;0;0;0.1;0;0;0.2;0.1;0.1;0.3;0;0;0;0;0.2
"Rodrygo";0;0;0.143;0;0;0;0.143;0.107;0;0.357;0;0;0.036;0;0.214
"Toni Kroos";0;0.141;0.012;0.024;0.106;0.106;0.188;0.106;0;0.2;0;0.012;0.024;0.082;0
