"";"Aissa Laidouni";"Alex Kral";"Brenden Aaronson";"David Fofana";"Diogo Leite";"Frederik Ronnow";"Janik Haberer";"Jerome Roussillon";"Josip Juranovic";"Kevin Behrens";"Kevin Volland";"Lucas Tousart";"Rani Khedira";"Robin Gosens";"Robin Knoche"
"Aissa Laidouni";0;0;0;0.029;0.229;0;0;0.2;0.029;0.057;0.057;0.057;0.057;0.143;0.143
"Alex Kral";0;0;0;0.091;0.091;0;0.091;0.455;0.091;0;0;0;0;0.091;0.091
"Brenden Aaronson";0;0.333;0;0;0;0;0;0;0;0;0;0;0;0.333;0.333
"David Fofana";0;0;0;0;0.2;0;0.4;0;0.2;0;0;0;0.2;0;0
"Diogo Leite";0.203;0.051;0.013;0.013;0;0.038;0.013;0.177;0.038;0.025;0.013;0.025;0.101;0.025;0.266
"Frederik Ronnow";0;0;0;0;0.25;0;0;0.062;0.125;0;0.062;0;0.25;0;0.25
"Janik Haberer";0;0.1;0;0;0.1;0;0;0;0.1;0;0;0;0;0.1;0.6
"Jerome Roussillon";0.15;0;0.025;0.1;0.2;0.025;0;0;0;0.075;0.025;0;0.075;0.275;0.05
"Josip Juranovic";0.103;0.026;0;0.026;0.026;0.026;0.051;0;0;0.051;0.103;0.077;0.154;0;0.359
"Kevin Behrens";0;0;0;0;0.125;0;0;0;0.25;0;0.125;0;0.25;0;0.25
"Kevin Volland";0.111;0;0;0;0;0.111;0.333;0;0.222;0;0;0.111;0;0.111;0
"Lucas Tousart";0;0;0;0;0.125;0;0;0;0.25;0;0;0;0.375;0;0.25
"Rani Khedira";0.032;0;0;0;0.258;0.032;0.065;0.032;0.161;0;0;0;0;0.032;0.387
"Robin Gosens";0.2;0.15;0.05;0.05;0.1;0;0.05;0.35;0;0;0;0;0.05;0;0
"Robin Knoche";0.044;0.015;0;0;0.559;0.088;0.015;0;0.176;0.015;0.029;0.015;0.044;0;0
