"";"Aihen Munoz";"Alex Remiro";"Alvaro Odriozola";"Ander Barrene";"Aritz Elustondo";"Arsen Zakharyan";"Benat Turrientes";"Brais Mendez";"Hamari Traore";"Igor Zubeldia";"Jon Pacheco";"Martin Zubimendi";"Mikel Oyarzabal";"Mohamed Cho";"Takefusa Kubo";"Umar Sadiq"
"Aihen Munoz";0;0.029;0;0.074;0.015;0.294;0.118;0;0;0.176;0.176;0.059;0.029;0.029;0;0
"Alex Remiro";0;0;0.15;0;0.05;0;0;0;0;0.5;0.2;0.1;0;0;0;0
"Alvaro Odriozola";0.039;0.176;0;0;0.255;0;0;0.137;0;0.157;0;0.078;0.02;0.137;0;0
"Ander Barrene";0;0;0;0;0;0.25;0.125;0;0.125;0;0.125;0;0;0.125;0;0.25
"Aritz Elustondo";0;0.081;0.351;0;0;0;0.027;0.108;0;0.297;0;0.081;0.027;0.027;0;0
"Arsen Zakharyan";0.326;0;0;0.047;0.023;0;0.186;0.07;0.023;0.047;0.047;0.093;0.023;0.023;0.07;0.023
"Benat Turrientes";0.188;0;0.031;0.031;0.094;0.188;0;0.031;0.031;0.062;0.062;0.125;0.031;0.094;0.031;0
"Brais Mendez";0.087;0;0.174;0;0.087;0;0.043;0;0;0.13;0.087;0.217;0.043;0.13;0;0
"Hamari Traore";0;0;0;0;0;0.067;0.067;0;0;0.333;0.067;0;0;0;0.333;0.133
"Igor Zubeldia";0.224;0.066;0.105;0;0.171;0.053;0.053;0.026;0.026;0;0.171;0.039;0.013;0.026;0.026;0
"Jon Pacheco";0.244;0.024;0;0.024;0;0.098;0.024;0;0.073;0.366;0;0.122;0.024;0;0;0
"Martin Zubimendi";0.19;0;0.048;0.024;0.071;0.095;0.071;0.143;0.048;0.167;0.071;0;0.048;0;0.024;0
"Mikel Oyarzabal";0.176;0;0.059;0;0;0.118;0.118;0.059;0;0.176;0;0.176;0;0.118;0;0
"Mohamed Cho";0.188;0;0.25;0;0.062;0.188;0.062;0.188;0;0;0;0.062;0;0;0;0
"Takefusa Kubo";0;0;0;0.1;0;0.2;0.5;0;0.2;0;0;0;0;0;0;0
"Umar Sadiq";0;0;0;0;0;0.25;0.25;0;0;0;0;0;0;0;0.5;0
