"";"Alexander Schlager";"Amankwah Forson";"Amar Dedic";"Andreas Ulmer";"Dorgeles Nene";"Kamil Piatkowski";"Karim Konate";"Leandro Morgalla";"Luka Sucic";"Mads Bidstrup";"Nicolas Capaldo";"Oscar Gloukh";"Petar Ratkov";"Roko Simic";"Strahinja Pavlovic"
"Alexander Schlager";0;0;0.4;0;0;0.3;0;0;0;0;0.1;0;0;0;0.2
"Amankwah Forson";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Amar Dedic";0.143;0;0;0.143;0.095;0.143;0;0;0.095;0.095;0.19;0.095;0;0;0
"Andreas Ulmer";0.095;0;0.143;0;0.048;0.048;0;0.048;0.048;0.048;0.048;0.286;0;0;0.19
"Dorgeles Nene";0.077;0;0;0;0;0;0;0.077;0.154;0;0.077;0.308;0.231;0;0.077
"Kamil Piatkowski";0.375;0;0.062;0;0;0;0;0.188;0.062;0.125;0.062;0;0;0;0.125
"Karim Konate";0;0.5;0;0;0;0.5;0;0;0;0;0;0;0;0;0
"Leandro Morgalla";0.222;0;0.111;0;0;0.111;0;0;0;0;0.222;0.111;0.111;0.111;0
"Luka Sucic";0;0.083;0.333;0;0.083;0.083;0.083;0;0;0;0.167;0.083;0.083;0;0
"Mads Bidstrup";0.062;0;0.125;0;0.188;0.125;0;0.125;0.062;0;0.062;0.125;0.062;0;0.062
"Nicolas Capaldo";0.053;0;0.158;0.053;0;0;0.053;0.053;0.053;0.158;0;0.263;0.053;0;0.105
"Oscar Gloukh";0.062;0;0;0.125;0.375;0;0;0;0.25;0;0.188;0;0;0;0
"Petar Ratkov";0;0;0.111;0.111;0.222;0;0;0;0.222;0;0.111;0.222;0;0;0
"Roko Simic";0;0;0;0;0;0;0.5;0;0.5;0;0;0;0;0;0
"Strahinja Pavlovic";0.273;0;0;0.273;0;0.091;0;0;0;0.091;0.182;0.091;0;0;0
