"";"Angelo Fulgini";"Brice Samba";"David Costa";"Elye Wahi";"Facundo Medina";"Florian Sotoca";"Jonathan Gradit";"Kevin Danso";"Morgan Guilavogui";"Neil El Aynaoui";"Przemyslaw Frankowski";"Ruben Aguilar";"Salis Samed"
"Angelo Fulgini";0;0;0;0;0;0.5;0;0;0.5;0;0;0;0
"Brice Samba";0;0;0;0;0.333;0;0.333;0.222;0;0;0.111;0;0
"David Costa";0;0;0;0.056;0.111;0.056;0.056;0.111;0;0;0.333;0.056;0.222
"Elye Wahi";0;0;0.25;0;0.25;0;0;0;0;0;0;0;0.5
"Facundo Medina";0;0.182;0.318;0.136;0;0.091;0;0.045;0;0.045;0.182;0;0
"Florian Sotoca";0.056;0.056;0;0.111;0;0;0.278;0.111;0;0.056;0.056;0.222;0.056
"Jonathan Gradit";0.05;0.1;0;0;0.1;0.4;0;0;0;0;0;0.15;0.2
"Kevin Danso";0;0.105;0;0.053;0.263;0.158;0.158;0;0;0.053;0;0.053;0.158
"Morgan Guilavogui";0.25;0;0;0;0;0;0.25;0;0;0.25;0;0;0.25
"Neil El Aynaoui";0;0;0.091;0.182;0.091;0;0;0.273;0;0;0;0.182;0.182
"Przemyslaw Frankowski";0;0;0.391;0.087;0.174;0.087;0.087;0;0;0.087;0;0;0.087
"Ruben Aguilar";0;0.048;0.143;0;0;0.19;0.238;0;0;0.19;0;0;0.19
"Salis Samed";0.045;0.091;0.227;0;0.136;0.182;0.091;0.136;0;0;0.045;0.045;0
