"";"Andre Ramalho";"Armando Obispo";"Guus Til";"Isaac Babadi";"Ismael Saibari";"Johan Bakayoko";"Jordan Teze";"Malik Tillman";"Mauro Junior ";"Patrick van Aanholt";"Ricardo Pepi";"Sergino Dest";"Walter Benitez";"Yorbe Vertessen"
"Andre Ramalho";0;0.273;0.018;0.036;0.055;0.164;0.127;0.055;0.018;0.036;0.018;0;0.2;0
"Armando Obispo";0.224;0;0;0.02;0.061;0;0;0.061;0.286;0.163;0;0;0.122;0.061
"Guus Til";0;0;0;0.5;0;0;0.25;0;0;0;0.25;0;0;0
"Isaac Babadi";0.1;0;0.3;0;0;0;0.2;0;0.1;0;0;0.2;0.1;0
"Ismael Saibari";0.294;0.294;0;0;0;0.059;0;0;0.118;0.118;0.118;0;0;0
"Johan Bakayoko";0.364;0.045;0;0;0;0;0.182;0.273;0.045;0;0;0;0.045;0.045
"Jordan Teze";0.355;0.097;0;0;0.065;0.097;0;0;0.065;0.129;0.065;0.129;0;0
"Malik Tillman";0;0.062;0;0;0.062;0.312;0.062;0;0.125;0.125;0.125;0;0.062;0.062
"Mauro Junior ";0.033;0.233;0;0.067;0.067;0.033;0.067;0.067;0;0.1;0.067;0.033;0.1;0.133
"Patrick van Aanholt";0.115;0.192;0;0;0.077;0.115;0.077;0.115;0.154;0;0.038;0;0.077;0.038
"Ricardo Pepi";0;0.182;0;0;0.091;0.091;0.182;0;0.091;0.091;0;0;0;0.273
"Sergino Dest";0;0.167;0;0.333;0;0;0.5;0;0;0;0;0;0;0
"Walter Benitez";0.227;0.364;0;0;0.091;0;0;0.091;0.182;0.045;0;0;0;0
"Yorbe Vertessen";0;0.167;0;0.083;0.167;0;0;0.083;0.25;0.167;0;0;0.083;0
