"";"Alphonso Davies";"Dayot Upamecano";"Harry Kane";"Jamal Musiala";"Joshua Kimmich";"Kim Min-jae";"Kingsley Coman";"Konrad Laimer";"Leon Goretzka";"Leroy Sane";"Manuel Neuer";"Mathys Tel";"Noussair Mazraoui";"Raphael Guerreiro";"Thomas Muller"
"Alphonso Davies";0;0.08;0.08;0.1;0.08;0.28;0;0.02;0.14;0.16;0.04;0.02;0;0;0
"Dayot Upamecano";0.057;0;0.071;0;0.171;0.157;0.057;0.1;0.057;0.029;0.214;0;0.071;0;0.014
"Harry Kane";0;0.087;0;0.13;0.13;0.043;0.217;0.087;0.087;0;0.043;0;0.087;0.043;0.043
"Jamal Musiala";0.083;0.167;0.083;0;0.167;0.083;0.083;0.042;0.125;0.125;0;0;0.042;0;0
"Joshua Kimmich";0.1;0.2;0.033;0.1;0;0.167;0.067;0.05;0.133;0.033;0.033;0;0.067;0;0.017
"Kim Min-jae";0.154;0.154;0.015;0.108;0.185;0;0;0;0.108;0.015;0.262;0;0;0;0
"Kingsley Coman";0;0.074;0.259;0.111;0.259;0;0;0.037;0.037;0;0.037;0;0.148;0;0.037
"Konrad Laimer";0;0.304;0.087;0;0.043;0.043;0.217;0;0.043;0;0.087;0.043;0;0;0.13
"Leon Goretzka";0.19;0.119;0.048;0.071;0.19;0.238;0.024;0.024;0;0;0;0;0.024;0;0.071
"Leroy Sane";0.167;0;0.056;0.278;0.111;0;0.056;0.111;0.167;0;0;0;0.056;0;0
"Manuel Neuer";0.132;0.368;0;0;0.079;0.263;0;0.079;0.026;0;0;0;0.026;0.026;0
"Mathys Tel";0.167;0;0;0;0.167;0.167;0;0.167;0.167;0;0;0;0;0.167;0
"Noussair Mazraoui";0;0.2;0.1;0.05;0.2;0;0.3;0;0.05;0.05;0.05;0;0;0;0
"Raphael Guerreiro";0.333;0.333;0;0;0;0;0;0;0;0;0;0.333;0;0;0
"Thomas Muller";0;0;0;0;0;0;0.111;0.111;0.111;0.333;0;0.333;0;0;0
