"";"Andreas Cornelius";"Denis Vavro";"Diogo Goncalves";"Elias Achouri";"Elias Jelert";"Kamil Grabara";"Kevin Diks";"Lukas Lerager";"Mohamed Elyounoussi";"Nicolai Boilesen";"Peter Ankersen";"Rasmus Falk";"Viktor Claesson"
"Andreas Cornelius";0;0;0;0;0;0;0;0.333;0.333;0;0;0;0.333
"Denis Vavro";0;0;0;0;0.091;0.091;0;0.182;0.091;0;0.182;0.273;0.091
"Diogo Goncalves";0;0;0;0.067;0.267;0.067;0.133;0.067;0.067;0;0.067;0.133;0.133
"Elias Achouri";0;0;0.25;0;0.083;0;0;0.083;0;0;0;0.25;0.333
"Elias Jelert";0.034;0.034;0.172;0.207;0;0;0.069;0;0.207;0.034;0.034;0.138;0.069
"Kamil Grabara";0;0.2;0;0;0;0;0.6;0;0;0;0.2;0;0
"Kevin Diks";0;0.062;0.188;0.062;0.188;0.125;0;0.125;0;0;0.125;0.062;0.062
"Lukas Lerager";0.059;0;0.118;0;0;0;0.118;0;0.235;0.059;0.235;0.118;0.059
"Mohamed Elyounoussi";0;0.077;0.077;0.077;0.154;0;0.077;0.154;0;0;0.231;0.077;0.077
"Nicolai Boilesen";1;0;0;0;0;0;0;0;0;0;0;0;0
"Peter Ankersen";0;0.067;0.067;0;0;0.133;0.067;0.267;0.133;0;0;0.133;0.133
"Rasmus Falk";0;0.154;0.038;0.192;0.192;0.115;0;0.115;0.077;0;0.077;0;0.038
"Viktor Claesson";0.037;0.037;0.074;0.111;0.222;0;0;0.148;0.185;0;0.074;0.111;0
