"";"Antonio Rudiger";"Brahim Diaz";"Dani Ceballos";"David Alaba";"Federico Valverde";"Fran Garcia";"Joselu";"Jude Bellingham";"Kepa Arrizabalaga";"Lucas Vazquez";"Luka Modric";"Nacho Fernandez";"Nicolas Paz";"Rodrygo";"Toni Kroos"
"Antonio Rudiger";0;0.083;0;0;0;0;0.083;0;0.25;0.25;0.083;0.25;0;0;0
"Brahim Diaz";0;0;0;0;0;0;0.4;0.2;0;0;0;0.2;0;0;0.2
"Dani Ceballos";0;0;0;0.12;0;0.084;0;0.108;0.012;0.157;0.181;0.108;0;0.169;0.06
"David Alaba";0;0;0.067;0;0.04;0.36;0.013;0.107;0.093;0;0.027;0.187;0;0.053;0.053
"Federico Valverde";0;0;0.159;0.045;0;0.114;0;0.114;0.045;0.091;0.25;0.091;0;0.091;0
"Fran Garcia";0.011;0;0.067;0.191;0.146;0;0.034;0.236;0;0;0.101;0.045;0;0.124;0.045
"Joselu";0.053;0;0.158;0;0;0.053;0;0.158;0;0.263;0.158;0.053;0;0.105;0
"Jude Bellingham";0;0.026;0.118;0.118;0.079;0.145;0.013;0;0.026;0.105;0.158;0.053;0.013;0.079;0.066
"Kepa Arrizabalaga";0.083;0;0.056;0.222;0;0.056;0;0;0;0.056;0.056;0.333;0;0.028;0.111
"Lucas Vazquez";0.011;0.011;0.184;0.023;0.046;0;0.034;0.057;0.034;0;0.253;0.138;0;0.138;0.069
"Luka Modric";0;0.01;0.115;0.058;0.077;0.115;0.029;0.192;0;0.192;0;0.096;0.019;0.019;0.077
"Nacho Fernandez";0.045;0.011;0.112;0.213;0.056;0.067;0.011;0.011;0.056;0.18;0.169;0;0.011;0;0.056
"Nicolas Paz";0;0;0;0;0;0;0;0.25;0;0.25;0.25;0;0;0;0.25
"Rodrygo";0;0;0.135;0.019;0.058;0.115;0.096;0.135;0;0.25;0.077;0.058;0;0;0.058
"Toni Kroos";0.022;0;0.174;0.043;0;0.109;0.065;0.174;0.022;0.065;0.217;0.043;0.022;0.043;0
