"";"Aihen Munoz";"Alex Remiro";"Aritz Elustondo";"Arsen Zakharyan";"Benat Turrientes";"Hamari Traore";"Igor Zubeldia";"Jon Magunazelaia";"Kieran Tierney";"Martin Zubimendi";"Mikel Merino";"Mikel Oyarzabal";"Robin Le Normand";"Takefusa Kubo";"Umar Sadiq"
"Aihen Munoz";0;0;0;0.045;0.068;0;0;0;0;0.182;0.045;0.114;0.5;0;0.045
"Alex Remiro";0;0;0;0.118;0;0;0.412;0;0;0.118;0.235;0;0.118;0;0
"Aritz Elustondo";0;0.5;0;0;0;0.5;0;0;0;0;0;0;0;0;0
"Arsen Zakharyan";0.111;0.056;0;0;0;0.167;0.111;0;0;0.222;0;0.056;0;0.278;0
"Benat Turrientes";0.231;0;0;0;0;0;0;0.077;0;0.308;0.077;0.077;0.231;0;0
"Hamari Traore";0;0.015;0.015;0.015;0.031;0;0.354;0;0;0.138;0.123;0.031;0;0.262;0.015
"Igor Zubeldia";0;0.182;0;0.015;0;0.318;0;0;0;0.061;0.061;0;0.273;0.076;0.015
"Jon Magunazelaia";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Kieran Tierney";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Martin Zubimendi";0.105;0;0;0.07;0.088;0.14;0.158;0;0;0;0.088;0;0.193;0.123;0.035
"Mikel Merino";0;0.057;0;0;0.086;0.2;0.114;0;0;0.257;0;0.057;0.057;0.086;0.086
"Mikel Oyarzabal";0.167;0;0;0.167;0;0;0;0;0;0.25;0.333;0;0;0.083;0
"Robin Le Normand";0.507;0.145;0.014;0.014;0;0.029;0.232;0;0.014;0.029;0;0.014;0;0;0
"Takefusa Kubo";0;0;0;0.069;0;0.414;0.034;0.034;0;0.207;0.172;0.034;0;0;0.034
"Umar Sadiq";0;0;0;0.125;0;0.25;0;0;0;0.25;0.125;0.25;0;0;0
