"";"Aurele Amenda";"Cheikh Niasse";"Darian Males";"David Von Ballmoos";"Donat Rrudhani";"Ebrima Colley";"Fabian Lustenberger";"Filip Ugrinic";"Jean-Pierre Nsame";"Joel Monteiro";"Lukasz Lakomy";"Meschack Elia";"Saidy Janko";"Sandro Lauper";"Silvere Ganvoula";"Ulisses Garcia"
"Aurele Amenda";0;0.093;0;0.279;0;0;0.233;0.07;0.023;0;0;0.023;0.233;0.023;0;0.023
"Cheikh Niasse";0.143;0;0;0.029;0;0.057;0.114;0.029;0.057;0;0.086;0;0.257;0.029;0.057;0.143
"Darian Males";0;0.333;0;0;0;0.333;0;0;0;0.333;0;0;0;0;0;0
"David Von Ballmoos";0.381;0.048;0;0;0;0;0.381;0.048;0;0;0;0;0.048;0;0;0.095
"Donat Rrudhani";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Ebrima Colley";0;0.1;0;0;0;0;0.2;0.1;0;0;0.2;0.1;0;0;0;0.3
"Fabian Lustenberger";0.083;0.056;0;0.306;0;0;0;0;0.028;0;0.028;0.028;0;0.083;0;0.389
"Filip Ugrinic";0.105;0.105;0;0;0;0.053;0.053;0;0;0;0;0.053;0.053;0.158;0;0.421
"Jean-Pierre Nsame";0.167;0;0;0;0;0.167;0.167;0;0;0;0;0.167;0.167;0;0;0.167
"Joel Monteiro";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Lukasz Lakomy";0;0.455;0.091;0;0;0;0.091;0;0;0.091;0;0;0.091;0;0.091;0.091
"Meschack Elia";0;0.2;0;0;0;0.2;0;0.2;0;0;0;0;0.2;0;0;0.2
"Saidy Janko";0.184;0.204;0.041;0.041;0;0.102;0.061;0.041;0.082;0.041;0.02;0.041;0;0.082;0.061;0
"Sandro Lauper";0.278;0.111;0;0;0;0;0;0.111;0.056;0;0;0;0.167;0;0;0.278
"Silvere Ganvoula";0;0.333;0.167;0;0;0.167;0;0;0;0;0.333;0;0;0;0;0
"Ulisses Garcia";0.064;0.085;0;0.064;0.021;0.021;0.213;0.277;0;0;0.021;0.043;0.043;0.085;0.064;0
