"";"Bernardo Silva";"Jack Grealish";"John Stones";"Kalvin Phillips";"Mahamadou Susoho";"Manuel Akanji";"Mateo Kovacic";"Matheus Nunes";"Micah Hamilton";"Oscar Bobb";"Phil Foden";"Rico Lewis";"Sergio Gomez";"Stefan Ortega"
"Bernardo Silva";0;0;0;0;0.125;0.125;0;0;0.375;0.25;0;0;0;0.125
"Jack Grealish";0;0;0.077;0.077;0;0.231;0.154;0.231;0.077;0;0;0;0.154;0
"John Stones";0;0;0;0.151;0;0.038;0.075;0.113;0;0.094;0.057;0.17;0.094;0.208
"Kalvin Phillips";0;0.033;0.098;0;0.016;0.115;0.148;0.148;0.033;0.049;0.016;0.098;0.098;0.148
"Mahamadou Susoho";0.154;0;0;0.231;0;0.154;0;0.077;0.077;0;0.077;0.077;0.077;0.077
"Manuel Akanji";0;0.079;0.048;0.079;0.032;0;0.079;0.063;0.016;0.016;0;0.079;0.159;0.349
"Mateo Kovacic";0;0.02;0.1;0.24;0;0.14;0;0.08;0.12;0.04;0.08;0;0.08;0.1
"Matheus Nunes";0;0.022;0.044;0.133;0;0.044;0.067;0;0.111;0.2;0.067;0.244;0.022;0.044
"Micah Hamilton";0;0.036;0.036;0.036;0;0.036;0.107;0.071;0;0.107;0.071;0.179;0.321;0
"Oscar Bobb";0.111;0;0.083;0.139;0.056;0;0.111;0.306;0.083;0;0;0.056;0.028;0.028
"Phil Foden";0;0;0;0.053;0;0.053;0.263;0.053;0.105;0.105;0;0.105;0.263;0
"Rico Lewis";0.035;0;0.351;0.105;0.035;0.07;0;0.105;0.088;0.105;0.035;0;0.053;0.018
"Sergio Gomez";0;0.102;0.034;0.085;0.085;0.203;0.153;0.051;0.034;0.034;0.017;0.102;0;0.102
"Stefan Ortega";0;0.019;0.057;0.189;0.019;0.17;0.17;0.075;0;0.075;0.094;0.057;0.075;0
