"";"Alvaro Morata";"Angel Correa";"Antoine Griezmann";"Axel Witsel";"Caglar Soyuncu";"Cesar Azpilicueta";"Jan Oblak";"Jose Gimenez";"Koke";"Mario Hermoso";"Memphis Depay";"Nahuel Molina";"Rodrigo de Paul";"Samuel Lino";"Saul Niguez";"Stefan Savic"
"Alvaro Morata";0;0;0;0;0;0;0;0;0;0;0.333;0.333;0;0.333;0;0
"Angel Correa";0;0;0.111;0.222;0;0;0;0;0;0.167;0;0.111;0.167;0.056;0.111;0.056
"Antoine Griezmann";0;0.133;0;0.133;0;0;0;0;0;0.067;0;0;0.4;0.067;0.067;0.133
"Axel Witsel";0;0.087;0.065;0;0.043;0;0;0.065;0;0.174;0;0.087;0.174;0.065;0.065;0.174
"Caglar Soyuncu";0;0;0;0.032;0;0.194;0;0;0.032;0.484;0;0;0.097;0;0;0.161
"Cesar Azpilicueta";0;0;0;0;0.222;0;0.167;0;0.111;0;0;0.111;0.333;0;0.056;0
"Jan Oblak";0;0;0;0.038;0.077;0.038;0;0.231;0.038;0.154;0;0;0;0.038;0;0.385
"Jose Gimenez";0;0;0;0.031;0;0;0.125;0;0;0.375;0;0;0;0;0.062;0.406
"Koke";0.053;0;0;0;0.053;0.105;0.053;0;0;0.263;0.105;0.053;0.053;0.053;0;0.211
"Mario Hermoso";0.015;0.015;0.015;0.149;0.134;0.015;0.09;0.06;0.06;0;0.045;0;0;0.254;0.075;0.075
"Memphis Depay";0;0;0;0;0;0;0;0;0.083;0.083;0;0.083;0.083;0.5;0.167;0
"Nahuel Molina";0;0.045;0.045;0.091;0;0.068;0.023;0;0.045;0;0.023;0;0.227;0;0.045;0.386
"Rodrigo de Paul";0.022;0.087;0.065;0.109;0.043;0.022;0;0.043;0.022;0.043;0.043;0.217;0;0.087;0.043;0.152
"Samuel Lino";0;0;0.045;0.136;0;0.023;0;0;0.091;0.295;0.114;0;0.091;0;0.182;0.023
"Saul Niguez";0;0.056;0.111;0.111;0.028;0.028;0;0.083;0.028;0.194;0.083;0.028;0.028;0.139;0;0.083
"Stefan Savic";0;0.027;0.014;0.041;0.122;0;0.095;0.203;0.027;0.027;0;0.311;0.095;0.014;0.027;0
