"";"Adam Marusic";"Ciro Immobile";"Daichi Kamada";"Elseid Hysaj";"Felipe Anderson";"Ivan Provedel";"Luca Pellegrini";"Luis Alberto";"Manuel Lazzari";"Mario Gila";"Matias Vecino";"Matteo Guendouzi";"Mattia Zaccagni";"Nicolo Casale";"Pedro Rodriguez";"Taty Castellanos"
"Adam Marusic";0;0;0;0;0;0.05;0;0;0;0;0.15;0.25;0;0.3;0.25;0
"Ciro Immobile";0;0;0;0.2;0;0;0;0;0;0;0.2;0;0.6;0;0;0
"Daichi Kamada";0;0;0;0.125;0;0;0.188;0;0.062;0.125;0.188;0;0.125;0.062;0;0.125
"Elseid Hysaj";0;0.026;0;0;0;0.026;0;0.079;0;0.289;0.132;0.053;0.368;0;0.026;0
"Felipe Anderson";0;0;0.111;0;0;0;0;0;0.167;0;0.222;0.278;0.056;0.111;0;0.056
"Ivan Provedel";0.056;0.056;0;0.111;0.111;0;0;0;0.111;0.056;0.111;0;0;0.333;0.056;0
"Luca Pellegrini";0;0;0.308;0;0;0;0;0;0;0.154;0.077;0;0.231;0.077;0;0.154
"Luis Alberto";0;0.2;0;0.24;0;0.08;0;0;0;0.2;0.12;0.04;0.04;0.08;0;0
"Manuel Lazzari";0;0;0.056;0;0.333;0;0.056;0;0;0.056;0.111;0.278;0;0.111;0;0
"Mario Gila";0.036;0;0.036;0.164;0;0.164;0.073;0.091;0.018;0;0.218;0.036;0;0.164;0;0
"Matias Vecino";0.083;0;0.021;0.125;0.042;0.021;0.042;0.083;0.062;0.229;0;0.146;0.042;0.104;0;0
"Matteo Guendouzi";0.161;0;0.032;0;0.129;0.032;0;0.032;0.194;0.065;0.097;0;0.032;0.129;0.097;0
"Mattia Zaccagni";0;0;0.2;0.1;0;0;0.1;0.2;0.05;0.25;0.05;0.05;0;0;0;0
"Nicolo Casale";0.067;0;0;0.111;0.044;0.067;0.022;0.067;0.067;0.222;0.133;0.111;0;0;0.067;0.022
"Pedro Rodriguez";0.25;0.062;0;0;0;0;0;0.25;0;0;0.062;0.125;0;0.25;0;0
"Taty Castellanos";0;0;0.286;0;0;0;0.143;0;0.143;0.143;0;0.286;0;0;0;0
