"";"Donyell Malen";"Giovanni Reyna";"Gregor Kobel";"Jamie Bynoe-Gittens";"Julian Brandt";"Karim Adeyemi";"Marcel Sabitzer";"Marco Reus";"Marius Wolf";"Mats Hummels";"Niclas Fullkrug";"Nico Schlotterbeck";"Niklas Sule";"Ramy Bensebaini";"Salih Ozcan";"Sebastien Haller"
"Donyell Malen";0;0.167;0;0;0.333;0;0;0;0;0;0.167;0.167;0.167;0;0;0
"Giovanni Reyna";0;0;0;0;0;0;0;0.333;0;0;0;0;0.333;0.333;0;0
"Gregor Kobel";0;0;0;0;0.125;0;0;0;0;0.188;0.125;0;0.25;0.062;0.25;0
"Jamie Bynoe-Gittens";0;0;0;0;0.1;0;0;0.1;0;0.2;0.1;0;0;0.1;0.4;0
"Julian Brandt";0.029;0;0.086;0.029;0;0.086;0;0.057;0.086;0.143;0.114;0;0.2;0.086;0.086;0
"Karim Adeyemi";0;0;0.043;0;0.261;0;0;0.13;0.174;0.043;0.043;0;0;0.087;0.217;0
"Marcel Sabitzer";0;0;0;0;0;0.5;0;0;0;0.5;0;0;0;0;0;0
"Marco Reus";0;0;0;0;0.176;0.118;0.059;0;0.059;0.235;0.059;0;0.059;0.118;0.118;0
"Marius Wolf";0;0;0.111;0.111;0.111;0.111;0;0;0;0.222;0.222;0;0.111;0;0;0
"Mats Hummels";0.021;0.021;0.234;0.064;0.17;0.128;0;0.043;0.043;0;0.064;0;0.085;0.064;0.043;0.021
"Niclas Fullkrug";0.062;0;0;0.125;0.125;0.312;0.062;0.125;0.062;0;0;0;0.062;0;0.062;0
"Nico Schlotterbeck";0.25;0;0.25;0;0;0;0;0;0;0.25;0;0;0.25;0;0;0
"Niklas Sule";0.069;0.034;0.31;0.034;0.103;0.069;0;0.034;0.034;0.103;0.103;0;0;0;0.103;0
"Ramy Bensebaini";0;0;0.04;0.2;0.04;0.04;0.04;0.04;0;0.32;0.12;0.04;0;0;0.12;0
"Salih Ozcan";0;0;0.091;0.061;0.212;0.061;0;0.182;0.061;0.212;0.061;0;0.061;0;0;0
"Sebastien Haller";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
