"";"Alan Varela";"Andre Franco";"Diogo Costa";"Evanilson";"Fabio Cardoso";"Francisco Conceicao";"Galeno";"Joao Mario";"Jorge Sanchez";"Marko Grujic";"Mehdi Taremi";"Pepe_14926";"Pepe_66499";"Stephen Eustaquio";"Zaidu Sanusi"
"Alan Varela";0;0.08;0.04;0;0.12;0;0.08;0;0.04;0.04;0;0.28;0.04;0.12;0.16
"Andre Franco";0.167;0;0;0;0.167;0.167;0;0;0;0.333;0;0;0;0;0.167
"Diogo Costa";0.031;0;0;0;0.344;0;0.031;0;0.031;0.031;0.031;0.406;0;0;0.094
"Evanilson";0.133;0;0;0;0;0;0.067;0;0.2;0;0.2;0.133;0.133;0.067;0.067
"Fabio Cardoso";0.071;0.024;0.19;0.024;0;0;0;0.024;0;0.024;0;0.119;0.024;0.214;0.286
"Francisco Conceicao";0;0.4;0;0;0;0;0;0.6;0;0;0;0;0;0;0
"Galeno";0.091;0;0.045;0.091;0.091;0.045;0;0.045;0;0;0.091;0.045;0.182;0.136;0.136
"Joao Mario";0;0.143;0;0;0;0.143;0;0;0;0;0.571;0;0.143;0;0
"Jorge Sanchez";0.048;0;0.095;0.286;0.048;0;0.048;0;0;0;0;0.238;0.19;0.048;0
"Marko Grujic";0;0.5;0;0;0;0.25;0;0;0;0;0;0;0;0;0.25
"Mehdi Taremi";0.133;0;0;0;0.133;0.067;0.267;0;0;0.067;0;0;0.067;0.2;0.067
"Pepe_14926";0.029;0;0.257;0.029;0.229;0.029;0;0.029;0.2;0;0.057;0;0.086;0.057;0
"Pepe_66499";0.118;0;0.059;0.235;0.059;0;0.059;0.059;0;0;0.118;0.118;0;0.118;0.059
"Stephen Eustaquio";0.133;0;0.033;0;0.167;0;0.1;0;0.1;0;0.1;0.133;0.067;0;0.167
"Zaidu Sanusi";0.077;0;0.128;0.026;0.179;0;0.256;0;0;0;0.103;0.026;0.051;0.154;0
