"";"Bernardo Silva";"Ederson";"Erling Haaland";"Jack Grealish";"Jeremy Doku";"John Stones";"Kevin De Bruyne";"Kyle Walker";"Matheus Nunes";"Nathan Ake";"Phil Foden";"Rodri";"Ruben Dias"
"Bernardo Silva";0;0;0;0.083;0.125;0.062;0.083;0.062;0;0.188;0.125;0.146;0.125
"Ederson";0.043;0;0;0;0;0.13;0;0.217;0;0.174;0;0.13;0.304
"Erling Haaland";0.143;0;0;0;0.143;0;0;0.143;0;0;0.429;0.143;0
"Jack Grealish";0.053;0;0;0;0;0.053;0.105;0.053;0;0.368;0.053;0.105;0.211
"Jeremy Doku";0.2;0;0.033;0;0;0.133;0.033;0.1;0;0.2;0.033;0.1;0.167
"John Stones";0.06;0;0.012;0;0.024;0;0.12;0.205;0.036;0.12;0.169;0.145;0.108
"Kevin De Bruyne";0.113;0.038;0.019;0.075;0.094;0.094;0;0.075;0.019;0.094;0.189;0.113;0.075
"Kyle Walker";0.027;0.072;0.036;0;0;0.189;0.063;0;0;0;0.18;0.108;0.324
"Matheus Nunes";0;0;0.077;0;0.154;0;0.077;0.077;0;0.385;0.154;0;0.077
"Nathan Ake";0.121;0.03;0;0.091;0.111;0.04;0.091;0.061;0.03;0;0.01;0.172;0.242
"Phil Foden";0.03;0.015;0;0;0.03;0.106;0.212;0.318;0.03;0.03;0;0.106;0.121
"Rodri";0.118;0.012;0;0.035;0.059;0.153;0.082;0.141;0.012;0.165;0.082;0;0.141
"Ruben Dias";0.008;0.05;0;0.008;0.017;0.143;0.042;0.176;0.017;0.286;0.034;0.218;0
