"";"Alexander Meyer";"Donyell Malen";"Emre Can";"Ian Maatsen";"Jadon Sancho";"Julian Brandt";"Julian Ryerson";"Marcel Sabitzer";"Marco Reus";"Marius Wolf";"Mats Hummels";"Niclas Fullkrug";"Nico Schlotterbeck";"Salih Ozcan";"Youssoufa Moukoko"
"Alexander Meyer";0;0;0.138;0.034;0.034;0;0.034;0;0;0;0.207;0;0.552;0;0
"Donyell Malen";0;0;0.273;0;0;0;0.273;0.182;0.182;0;0.091;0;0;0;0
"Emre Can";0.023;0.114;0;0.159;0.068;0.023;0.136;0.091;0.023;0.023;0.182;0.023;0.068;0.023;0.045
"Ian Maatsen";0.087;0.087;0.217;0;0.174;0.13;0;0;0;0;0.043;0.087;0.174;0;0
"Jadon Sancho";0;0;0.188;0.25;0;0;0.062;0.125;0.188;0;0;0;0.188;0;0
"Julian Brandt";0;0;0.091;0.273;0;0;0;0.091;0;0.182;0.091;0.091;0;0.182;0
"Julian Ryerson";0.135;0.135;0.081;0.027;0.108;0;0;0.081;0.027;0;0.351;0.027;0;0;0.027
"Marcel Sabitzer";0;0.211;0.105;0.105;0.158;0.105;0.053;0;0;0.053;0.105;0.053;0.053;0;0
"Marco Reus";0;0.091;0.182;0;0.182;0;0.273;0.091;0;0;0.091;0.091;0;0;0
"Marius Wolf";0;0;0.25;0;0;0;0;0.25;0;0;0.25;0;0;0;0.25
"Mats Hummels";0.333;0.051;0.077;0.051;0;0.051;0.205;0.051;0.026;0;0;0;0.077;0.077;0
"Niclas Fullkrug";0;0.4;0;0;0;0;0.2;0.2;0.2;0;0;0;0;0;0
"Nico Schlotterbeck";0.31;0;0.138;0.276;0.069;0.069;0;0.034;0.034;0;0.069;0;0;0;0
"Salih Ozcan";0;0;0.333;0;0;0.333;0.167;0;0;0;0;0;0;0;0.167
"Youssoufa Moukoko";0;0;0;0.333;0;0.333;0;0;0;0;0;0;0;0.333;0
