"";"Alessandro Bastoni";"Alexis Sanchez";"Benjamin Pavard";"Carlos Augusto";"Davide Frattesi";"Denzel Dumfries";"Federico Dimarco";"Hakan Calhanoglu";"Henrikh Mkhitaryan";"Lautaro Martinez";"Marcus Thuram";"Marko Arnautovic";"Matteo Darmian";"Nicolo Barella";"Stefan de Vrij";"Yann Sommer"
"Alessandro Bastoni";0;0;0.034;0.034;0;0;0.207;0.121;0.086;0.017;0;0.034;0.017;0.069;0.224;0.155
"Alexis Sanchez";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Benjamin Pavard";0.025;0;0;0;0.025;0.037;0;0.185;0.025;0.012;0;0;0.21;0.185;0.185;0.111
"Carlos Augusto";0;0;0;0;0.125;0.125;0;0.375;0;0;0;0;0;0.125;0;0.25
"Davide Frattesi";0;0;0.125;0.125;0;0.125;0;0.25;0;0.125;0;0;0;0.25;0;0
"Denzel Dumfries";0;0;0.6;0.2;0;0;0;0;0.2;0;0;0;0;0;0;0
"Federico Dimarco";0.448;0;0;0;0;0;0;0.172;0.207;0.069;0;0;0;0;0.034;0.069
"Hakan Calhanoglu";0.053;0;0.187;0;0;0.027;0.053;0;0.08;0.067;0.013;0.04;0.08;0.16;0.173;0.067
"Henrikh Mkhitaryan";0.125;0;0.156;0.031;0;0;0.156;0.312;0;0.031;0.031;0;0.031;0.125;0;0
"Lautaro Martinez";0;0;0.118;0;0;0.059;0;0;0.294;0;0.118;0.059;0;0.294;0.059;0
"Marcus Thuram";0;0;0;0;0;0;0;0;0;0.571;0;0;0;0.286;0.143;0
"Marko Arnautovic";0;0;0.111;0;0.111;0;0;0.444;0;0.333;0;0;0;0;0;0
"Matteo Darmian";0;0;0.27;0;0;0;0;0.108;0.054;0.054;0.027;0;0;0.297;0.108;0.081
"Nicolo Barella";0.103;0.015;0.103;0.015;0.074;0.015;0.029;0.25;0.029;0.074;0.015;0.044;0.088;0;0.132;0.015
"Stefan de Vrij";0.174;0;0.261;0;0;0;0.058;0.203;0.043;0.014;0;0;0.043;0.13;0;0.072
"Yann Sommer";0.054;0;0.405;0;0;0;0.054;0.216;0.054;0;0;0;0;0.081;0.135;0
