"";"Ben White";"Bukayo Saka";"David Raya";"Declan Rice";"Gabriel Magalhaes";"Gabriel Martinelli";"Jakub Kiwior";"Jorginho";"Kai Havertz";"Leandro Trossard";"Martin Odegaard";"William Saliba"
"Ben White";0;0.1;0.075;0.2;0.225;0;0;0;0;0.025;0.1;0.275
"Bukayo Saka";0.115;0;0;0.077;0.038;0;0.077;0.038;0.115;0.038;0.269;0.231
"David Raya";0;0;0;0;0.3;0;0.1;0.1;0.2;0;0.1;0.2
"Declan Rice";0.107;0.018;0.018;0;0.125;0.071;0.179;0.036;0.054;0.054;0.143;0.196
"Gabriel Magalhaes";0.014;0;0.043;0.243;0;0.043;0.071;0.014;0.057;0.029;0.071;0.414
"Gabriel Martinelli";0;0;0;0;0.118;0;0.294;0.059;0.235;0;0.118;0.176
"Jakub Kiwior";0;0;0;0.174;0.261;0.304;0;0;0.087;0.109;0.022;0.043
"Jorginho";0.25;0;0;0.125;0.125;0;0.125;0;0.125;0;0;0.25
"Kai Havertz";0;0;0;0.091;0.045;0.318;0.273;0.045;0;0.091;0.045;0.091
"Leandro Trossard";0;0.1;0.1;0.1;0;0.1;0.1;0;0;0;0.3;0.2
"Martin Odegaard";0.07;0.372;0.023;0.093;0.116;0.023;0.07;0.023;0.047;0;0;0.163
"William Saliba";0.221;0.104;0.026;0.169;0.247;0;0.026;0.026;0;0.026;0.156;0
