"";"Alan Varela";"Diogo Costa";"Evanilson";"Francisco Conceicao";"Galeno";"Joao Mario";"Nico Gonzalez";"Otavio";"Pepe_14926";"Pepe_66499";"Wendell"
"Alan Varela";0;0.048;0.095;0.095;0;0.095;0;0.143;0.143;0.333;0.048
"Diogo Costa";0.043;0;0;0;0.043;0.217;0;0.609;0.043;0.043;0
"Evanilson";0;0;0;0.167;0;0;0.167;0.167;0;0.25;0.25
"Francisco Conceicao";0;0;0.071;0;0;0.286;0.071;0;0.357;0.214;0
"Galeno";0;0;0;0.6;0;0;0;0.2;0;0.2;0
"Joao Mario";0.167;0.042;0;0.208;0;0;0.042;0.042;0.292;0.208;0
"Nico Gonzalez";0;0.167;0;0.167;0.167;0.167;0;0;0.167;0.167;0
"Otavio";0;0.542;0.042;0;0;0;0.125;0;0.125;0;0.167
"Pepe_14926";0.276;0.414;0;0.034;0;0.069;0.034;0.103;0;0.034;0.034
"Pepe_66499";0.167;0;0.417;0.167;0;0.167;0;0;0.083;0;0
"Wendell";0.062;0.125;0.188;0.125;0;0.062;0;0.375;0.062;0;0
