"";"Andreas Cornelius";"Birger Meling";"Denis Vavro";"Elias Achouri";"Elias Jelert";"Kamil Grabara";"Kevin Diks";"Magnus Mattsson";"Mohamed Elyounoussi";"Orri Oskarsson";"Oscar Hojlund";"Peter Ankersen";"Roony Bardghji";"Scott McKenna";"Victor Froholdt";"William Clem"
"Andreas Cornelius";0;0.125;0.125;0;0;0;0;0.375;0.125;0;0;0.125;0.125;0;0;0
"Birger Meling";0;0;0;0;0;0;0;0;0.25;0;0;0;0;0.75;0;0
"Denis Vavro";0.03;0;0;0.03;0;0.182;0.212;0.03;0;0.061;0;0.242;0.03;0.121;0.03;0.03
"Elias Achouri";0;0;0.062;0;0.188;0;0;0;0.188;0.125;0;0;0;0.25;0.062;0.125
"Elias Jelert";0;0;0;0.188;0;0.031;0.094;0.062;0.125;0;0.031;0;0.031;0.406;0;0.031
"Kamil Grabara";0;0;0.312;0;0.062;0;0.062;0;0;0;0;0.062;0;0.5;0;0
"Kevin Diks";0.034;0;0.172;0.034;0.172;0.103;0;0.034;0.138;0.069;0.034;0.034;0;0.103;0;0.069
"Magnus Mattsson";0.167;0;0;0;0;0;0;0;0.667;0;0;0;0.167;0;0;0
"Mohamed Elyounoussi";0.038;0;0.038;0.077;0.231;0;0.077;0;0;0.038;0.115;0.077;0.038;0.154;0;0.115
"Orri Oskarsson";0;0;0;0.333;0.167;0;0;0;0.167;0;0;0.167;0;0;0.167;0
"Oscar Hojlund";0;0.083;0;0;0.167;0.083;0.083;0;0.083;0;0;0.333;0;0.167;0;0
"Peter Ankersen";0;0;0.48;0.04;0;0;0;0;0;0.12;0.04;0;0.12;0;0.16;0.04
"Roony Bardghji";0;0;0;0;0.1;0;0.1;0.1;0.3;0;0.1;0.1;0;0.1;0;0.1
"Scott McKenna";0;0.043;0.043;0.043;0.277;0.106;0.234;0.021;0.106;0;0.021;0;0;0;0.021;0.085
"Victor Froholdt";0;0;0.333;0;0;0;0;0;0;0;0;0.667;0;0;0;0
"William Clem";0;0;0.133;0.067;0.133;0.133;0.067;0;0.067;0;0;0.067;0;0.333;0;0
