"";"Andriy Lunin";"Antonio Rudiger";"Aurelien Tchouameni";"Dani Carvajal";"Eduardo Camavinga";"Federico Valverde";"Ferland Mendy";"Joselu";"Jude Bellingham";"Luka Modric";"Nacho Fernandez";"Rodrygo";"Toni Kroos";"Vinicius Junior"
"Andriy Lunin";0;0.333;0;0.067;0;0;0.2;0;0;0;0.133;0;0.267;0
"Antonio Rudiger";0.135;0;0.324;0.135;0;0.027;0;0;0.054;0;0.162;0;0.162;0
"Aurelien Tchouameni";0;0.088;0;0.228;0.105;0.175;0.018;0;0.035;0.053;0.053;0.018;0.211;0.018
"Dani Carvajal";0.042;0.188;0.271;0;0.062;0.229;0;0.021;0.042;0;0.021;0.042;0.083;0
"Eduardo Camavinga";0;0;0.2;0;0;0;0.1;0;0.15;0;0.25;0;0.15;0.15
"Federico Valverde";0;0.026;0.154;0.282;0.026;0;0;0;0.154;0.051;0.051;0.051;0.128;0.077
"Ferland Mendy";0;0;0.091;0;0.091;0;0;0;0.091;0.091;0.242;0.03;0.061;0.303
"Joselu";0;0;0;0;0;0.5;0;0;0;0;0;0.5;0;0
"Jude Bellingham";0;0.061;0.091;0.152;0.03;0.03;0.03;0;0;0;0.121;0;0.212;0.273
"Luka Modric";0;0;0;0.077;0;0.231;0.154;0;0.077;0;0.077;0;0;0.385
"Nacho Fernandez";0.091;0.218;0.091;0;0.055;0.018;0.145;0;0.055;0.018;0;0;0.273;0.036
"Rodrygo";0;0;0;0.25;0;0.5;0;0;0.25;0;0;0;0;0
"Toni Kroos";0.016;0.081;0.113;0.113;0.032;0.113;0.048;0;0.21;0;0.177;0.016;0;0.081
"Vinicius Junior";0;0;0.04;0;0.12;0.2;0.28;0;0.2;0.08;0.04;0.04;0;0
