"";"Guus Til";"Hirving Lozano";"Isaac Babadi";"Jerdy Schouten";"Joey Veerman";"Johan Bakayoko";"Jordan Teze";"Luuk de Jong";"Malik Tillman";"Mauro Junior ";"Olivier Boscagli";"Ricardo Pepi";"Sergino Dest";"Walter Benitez"
"Guus Til";0;0;0;0;0.1;0.2;0.1;0.1;0.2;0.1;0.2;0;0;0
"Hirving Lozano";0;0;0;0;0.067;0;0.067;0.067;0.067;0.133;0.133;0.067;0.4;0
"Isaac Babadi";0;0;0;0;0;0;0;0;0;0;0.333;0.333;0.333;0
"Jerdy Schouten";0.02;0.02;0;0;0.14;0.12;0.14;0.04;0.1;0.06;0.3;0;0;0.06
"Joey Veerman";0;0.021;0;0.106;0;0.106;0.149;0.043;0.213;0.128;0.128;0;0.106;0
"Johan Bakayoko";0;0;0;0.067;0.233;0;0.367;0.033;0.167;0.033;0.033;0;0.067;0
"Jordan Teze";0.061;0;0.02;0.143;0.184;0.204;0;0.02;0.041;0.102;0.143;0;0.041;0.041
"Luuk de Jong";0.125;0.25;0;0;0;0.25;0.125;0;0.125;0;0;0;0.125;0
"Malik Tillman";0.088;0.088;0;0.088;0.265;0.088;0.029;0.029;0;0.059;0.118;0;0.147;0
"Mauro Junior ";0.111;0.056;0;0.111;0.111;0.111;0.083;0.056;0.083;0;0.083;0;0.194;0
"Olivier Boscagli";0.038;0.019;0;0.226;0.113;0.019;0.038;0;0.151;0.075;0;0;0.264;0.057
"Ricardo Pepi";0;0;0;0;0;0.5;0;0.5;0;0;0;0;0;0
"Sergino Dest";0;0.2;0;0.04;0.08;0;0.04;0.02;0.16;0.16;0.24;0.02;0;0.04
"Walter Benitez";0;0;0.059;0.235;0;0;0.118;0;0;0;0.412;0;0.176;0
