"";"Ben White";"Bukayo Saka";"David Raya";"Declan Rice";"Gabriel Jesus";"Gabriel Magalhaes";"Jakub Kiwior";"Jorginho";"Kai Havertz";"Leandro Trossard";"Martin Odegaard";"William Saliba"
"Ben White";0;0.222;0.037;0.074;0;0.019;0.019;0.204;0.111;0.019;0.056;0.241
"Bukayo Saka";0.269;0;0;0;0.038;0.038;0;0.038;0.077;0.038;0.423;0.077
"David Raya";0;0;0;0.125;0;0.25;0;0.188;0;0;0;0.438
"Declan Rice";0.069;0.103;0;0;0;0.069;0.207;0.103;0.034;0.172;0.103;0.138
"Gabriel Jesus";0;0;0;0;0;0;0.25;0;0;0;0.75;0
"Gabriel Magalhaes";0.146;0;0.125;0.146;0;0;0.083;0.167;0.042;0.062;0;0.229
"Jakub Kiwior";0;0;0.074;0.185;0;0.259;0;0.148;0;0.333;0;0
"Jorginho";0.179;0.128;0;0.154;0;0.154;0.026;0;0.051;0.026;0.128;0.154
"Kai Havertz";0;0.273;0;0.182;0;0;0;0.091;0;0.091;0.182;0.182
"Leandro Trossard";0;0.091;0;0.182;0;0.182;0.273;0.091;0;0;0.182;0
"Martin Odegaard";0.048;0.333;0.048;0.095;0.095;0.048;0.048;0.048;0;0.19;0;0.048
"William Saliba";0.275;0.078;0.078;0.02;0.02;0.294;0;0.176;0.059;0;0;0
