"";"Alphonso Davies";"Eric Dier";"Harry Kane";"Jamal Musiala";"Joshua Kimmich";"Kingsley Coman";"Konrad Laimer";"Leon Goretzka";"Leroy Sane";"Manuel Neuer";"Matthijs De Ligt";"Raphael Guerreiro";"Serge Gnabry"
"Alphonso Davies";0;0.25;0;0.219;0.062;0;0.062;0;0;0.031;0.031;0.156;0.188
"Eric Dier";0.143;0;0.048;0.095;0.048;0;0.071;0;0;0.262;0.31;0.024;0
"Harry Kane";0;0;0;0.286;0;0.143;0.143;0.143;0.143;0;0;0;0.143
"Jamal Musiala";0.19;0.143;0.048;0;0;0.095;0.19;0.095;0;0;0;0.143;0.095
"Joshua Kimmich";0;0.056;0.111;0.028;0;0.111;0.111;0.111;0.167;0.056;0.25;0;0
"Kingsley Coman";0;0;0;0;0.5;0;0;0.25;0;0;0.25;0;0
"Konrad Laimer";0.074;0.259;0.111;0.148;0.111;0;0;0.037;0.074;0;0.148;0.037;0
"Leon Goretzka";0.05;0.1;0.1;0.1;0.35;0;0.05;0;0.15;0;0.05;0;0.05
"Leroy Sane";0;0;0.091;0.182;0.182;0;0;0.273;0;0;0.182;0;0.091
"Manuel Neuer";0.05;0.5;0;0;0.15;0;0.05;0.05;0;0;0.15;0;0.05
"Matthijs De Ligt";0.061;0.273;0;0;0.242;0.091;0;0.091;0.121;0.121;0;0;0
"Raphael Guerreiro";0.375;0.25;0;0.375;0;0;0;0;0;0;0;0;0
"Serge Gnabry";0.364;0.091;0;0.091;0.091;0;0.273;0.091;0;0;0;0;0
