"";"Alvaro Morata";"Angel Correa";"Antoine Griezmann";"Axel Witsel";"Cesar Azpilicueta";"Jan Oblak";"Jose Gimenez";"Koke";"Marcos Llorente";"Nahuel Molina";"Pablo Barrios ";"Rodrigo de Paul";"Samuel Lino"
"Alvaro Morata";0;0;0.333;0.111;0;0;0;0.111;0.222;0.111;0;0;0.111
"Angel Correa";0;0;0;0;0;0;0;0;1;0;0;0;0
"Antoine Griezmann";0;0;0;0;0.043;0;0.087;0.174;0.13;0.043;0.087;0.087;0.348
"Axel Witsel";0.067;0;0.067;0;0.067;0;0.133;0.067;0.133;0.267;0.067;0.133;0
"Cesar Azpilicueta";0.087;0;0.174;0;0;0.087;0.043;0.043;0.043;0.043;0;0.087;0.391
"Jan Oblak";0;0;0;0.75;0.25;0;0;0;0;0;0;0;0
"Jose Gimenez";0.056;0;0;0.111;0.333;0.222;0;0.056;0.056;0;0;0.167;0
"Koke";0.16;0.08;0.16;0.08;0.08;0;0.08;0;0.04;0.08;0;0.12;0.12
"Marcos Llorente";0.087;0;0.13;0.043;0;0;0.043;0.13;0;0.304;0.087;0.087;0.087
"Nahuel Molina";0.158;0;0.158;0;0;0.053;0.105;0.263;0.211;0;0;0.053;0
"Pablo Barrios ";0;0;0.167;0;0;0;0.333;0.333;0.167;0;0;0;0
"Rodrigo de Paul";0;0;0.125;0;0.188;0;0.125;0.188;0;0.062;0;0;0.312
"Samuel Lino";0.036;0;0.357;0;0.179;0.036;0;0.036;0.143;0;0;0.214;0
