"";"Andriy Lunin";"Antonio Rudiger";"Aurelien Tchouameni";"Brahim Diaz";"Dani Carvajal";"Eduardo Camavinga";"Federico Valverde";"Ferland Mendy";"Joselu";"Jude Bellingham";"Luka Modric";"Rodrygo";"Toni Kroos";"Vinicius Junior"
"Andriy Lunin";0;0.167;0.583;0;0;0.167;0;0;0;0;0;0;0.083;0
"Antonio Rudiger";0.135;0;0.297;0.027;0;0.027;0.027;0.054;0.027;0.054;0.108;0;0.189;0.054
"Aurelien Tchouameni";0.22;0.28;0;0;0.08;0.14;0.02;0;0;0.04;0.08;0;0.14;0
"Brahim Diaz";0;0;0;0;0.25;0.25;0;0.25;0;0;0.25;0;0;0
"Dani Carvajal";0;0;0.276;0.069;0;0.276;0.034;0;0;0.103;0.138;0.034;0.034;0.034
"Eduardo Camavinga";0.029;0.114;0.143;0;0.114;0;0.143;0.114;0;0.029;0.057;0.057;0.114;0.086
"Federico Valverde";0.056;0.056;0.167;0;0.167;0.111;0;0.056;0;0.222;0.056;0;0.111;0
"Ferland Mendy";0.048;0.143;0.048;0;0;0.048;0.048;0;0;0.048;0.095;0.095;0.238;0.19
"Joselu";0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Jude Bellingham";0.034;0.103;0.069;0.034;0.034;0.138;0.069;0.069;0;0;0.034;0.069;0.172;0.172
"Luka Modric";0;0.211;0.105;0.105;0.158;0.053;0.211;0.053;0;0.053;0;0;0;0.053
"Rodrygo";0;0;0;0;0.048;0.048;0.048;0;0;0.095;0;0;0.238;0.524
"Toni Kroos";0.067;0.111;0.2;0;0.022;0.178;0;0.111;0;0.111;0;0.089;0;0.111
"Vinicius Junior";0;0;0;0;0;0.043;0.043;0;0;0.217;0.043;0.391;0.261;0
