"";"Bernardo Silva";"Erling Haaland";"Jack Grealish";"John Stones";"Josko Gvardiol";"Julian Alvarez";"Manuel Akanji";"Mateo Kovacic";"Phil Foden";"Rodri";"Ruben Dias";"Stefan Ortega"
"Bernardo Silva";0;0.017;0.017;0.052;0.017;0.017;0.31;0.069;0.19;0.207;0.052;0.052
"Erling Haaland";0.5;0;0.333;0;0;0;0;0.167;0;0;0;0
"Jack Grealish";0;0.037;0;0.111;0.296;0.037;0.037;0.148;0;0.259;0.037;0.037
"John Stones";0.1;0;0.017;0;0.15;0;0.1;0.1;0.133;0.217;0.117;0.067
"Josko Gvardiol";0.014;0.029;0.217;0.116;0;0;0;0.13;0.014;0.203;0.203;0.072
"Julian Alvarez";0.333;0;0.333;0;0.333;0;0;0;0;0;0;0
"Manuel Akanji";0.171;0.012;0;0.11;0.024;0.012;0;0.024;0.183;0.244;0.22;0
"Mateo Kovacic";0.065;0.032;0.065;0.065;0.226;0;0.032;0;0.065;0.323;0.097;0.032
"Phil Foden";0.209;0.047;0.023;0.14;0.093;0;0.163;0.14;0;0.163;0.023;0
"Rodri";0.1;0.01;0.04;0.14;0.1;0;0.16;0.25;0.09;0;0.09;0.02
"Ruben Dias";0.117;0;0.039;0.078;0.091;0;0.247;0.078;0.039;0.169;0;0.143
"Stefan Ortega";0.036;0;0.071;0.071;0.071;0;0.071;0.036;0;0.25;0.393;0
