"";"Ben White";"Bukayo Saka";"David Raya";"Declan Rice";"Eddie Nketiah";"Gabriel Jesus";"Gabriel Magalhaes";"Gabriel Martinelli";"Jorginho";"Kai Havertz";"Leandro Trossard";"Martin Odegaard";"Takehiro Tomiyasu";"William Saliba"
"Ben White";0;0.2;0.02;0.08;0.02;0.04;0.04;0;0.08;0;0;0.2;0.02;0.3
"Bukayo Saka";0.4;0;0.05;0.15;0;0;0;0;0.05;0;0;0.25;0.05;0.05
"David Raya";0.091;0;0;0.182;0;0.091;0.273;0;0.091;0;0;0;0;0.273
"Declan Rice";0.102;0.082;0.02;0;0.02;0.041;0.102;0.061;0.184;0.061;0.041;0.041;0.102;0.143
"Eddie Nketiah";0;0;0;0;0;0;0.5;0;0;0;0.5;0;0;0
"Gabriel Jesus";0;0.25;0;0.25;0;0;0;0;0;0;0;0.5;0;0
"Gabriel Magalhaes";0;0;0.034;0.138;0;0;0;0.052;0.103;0.052;0;0;0.138;0.483
"Gabriel Martinelli";0.062;0;0;0.312;0;0;0.312;0;0;0;0;0.188;0.125;0
"Jorginho";0.1;0.025;0.025;0.05;0;0;0.05;0.025;0;0.1;0;0.2;0.025;0.4
"Kai Havertz";0.067;0.067;0;0.267;0;0;0;0.067;0.067;0;0.2;0.2;0.067;0
"Leandro Trossard";0;0;0;0;0.2;0;0.2;0;0;0.2;0;0;0.2;0.2
"Martin Odegaard";0.25;0.107;0;0.179;0;0;0.071;0;0.071;0.107;0.036;0;0.107;0.071
"Takehiro Tomiyasu";0;0;0;0.1;0;0.033;0.233;0.333;0.033;0.067;0.033;0.033;0;0.133
"William Saliba";0.247;0.024;0;0.141;0;0.012;0.271;0;0.176;0.024;0.012;0.047;0.047;0
