"";"Andriy Lunin";"Antonio Rudiger";"Brahim Diaz";"Dani Carvajal";"Eduardo Camavinga";"Federico Valverde";"Ferland Mendy";"Jude Bellingham";"Luka Modric";"Nacho Fernandez";"Rodrygo";"Toni Kroos";"Vinicius Junior"
"Andriy Lunin";0;0.667;0;0;0;0;0.111;0;0;0.222;0;0;0
"Antonio Rudiger";0.259;0;0;0.222;0;0.111;0;0.111;0;0.185;0.037;0.074;0
"Brahim Diaz";0;0;0;0;1;0;0;0;0;0;0;0;0
"Dani Carvajal";0.071;0.179;0;0;0.143;0.179;0;0.214;0.036;0.071;0;0.036;0.071
"Eduardo Camavinga";0.12;0.12;0;0.08;0;0.04;0.16;0.12;0;0.04;0.12;0.12;0.08
"Federico Valverde";0;0.1;0;0.233;0.233;0;0;0.1;0.033;0.067;0.1;0.067;0.067
"Ferland Mendy";0.107;0;0;0;0.107;0;0;0.107;0;0.179;0.143;0.321;0.036
"Jude Bellingham";0;0.08;0;0.04;0.12;0.32;0.12;0;0;0.04;0.12;0.08;0.08
"Luka Modric";0;0.25;0.25;0;0.25;0.25;0;0;0;0;0;0;0
"Nacho Fernandez";0.217;0.261;0;0;0.043;0.043;0.174;0;0.043;0;0.043;0.087;0.087
"Rodrygo";0;0;0;0.062;0.125;0;0.25;0.062;0;0;0;0.188;0.312
"Toni Kroos";0.059;0.059;0;0.118;0.176;0.118;0.147;0.088;0;0.088;0.118;0;0.029
"Vinicius Junior";0;0;0.056;0.056;0.056;0.167;0.222;0.167;0;0;0.167;0.111;0
