"";"Fermin Lopez";"Ferran Torres";"Frenkie de Jong";"Ilkay Gundogan";"Inigo Martinez";"Joao Cancelo";"Joao Felix";"Jules Kounde";"Lamine Yamal";"Marc-Andre ter Stegen";"Pau Cubarsi";"Pedri";"Raphinha";"Robert Lewandowski";"Ronald Araujo"
"Fermin Lopez";0;0;0;0.25;0;0;0.25;0.25;0;0;0;0;0.25;0;0
"Ferran Torres";0;0;0;0.286;0;0;0;0;0;0;0.143;0;0.286;0.286;0
"Frenkie de Jong";0;0;0;0.053;0;0.105;0;0.105;0;0.105;0.105;0.053;0.105;0.053;0.316
"Ilkay Gundogan";0.05;0.1;0.1;0;0.05;0.05;0;0.2;0.05;0.1;0;0.05;0.2;0.05;0
"Inigo Martinez";0;0;0;0.231;0;0.154;0.077;0.077;0;0.308;0;0;0.077;0.077;0
"Joao Cancelo";0;0.05;0.2;0.1;0.15;0;0;0;0;0.05;0.05;0.2;0.05;0.15;0
"Joao Felix";0;0.333;0;0;0;0;0;0;0;0;0.333;0;0;0.333;0
"Jules Kounde";0.083;0.083;0.125;0.042;0.042;0;0.083;0;0.042;0.167;0.083;0.042;0;0.042;0.167
"Lamine Yamal";0;0;0;0.4;0;0;0;0.4;0;0;0;0;0;0.2;0
"Marc-Andre ter Stegen";0;0;0.125;0.062;0.188;0;0;0;0;0;0.25;0.188;0;0.062;0.125
"Pau Cubarsi";0;0;0;0;0;0.182;0;0.182;0;0.273;0;0;0.182;0.182;0
"Pedri";0;0;0;0.062;0;0.188;0;0.125;0.062;0;0.125;0;0.062;0.25;0.125
"Raphinha";0.083;0.083;0.167;0.167;0;0.167;0;0;0.083;0.083;0;0;0;0.167;0
"Robert Lewandowski";0;0.071;0.071;0.286;0.071;0.286;0;0;0.071;0;0;0;0.143;0;0
"Ronald Araujo";0;0;0.214;0.071;0;0;0;0.071;0;0.429;0;0;0.071;0.143;0
