"";"Achraf Hakimi";"Bradley Barcola";"Fabian Ruiz";"Gianluigi Donnarumma";"Kang-In Lee";"Kylian Mbappe";"Lucas Hernandez";"Manuel Ugarte";"Marco Asensio";"Marquinhos";"Nuno Mendes";"Ousmane Dembele";"Randal Kolo Muani";"Vitinha Ferreira";"Warren Zaire-Emery"
"Achraf Hakimi";0;0;0.056;0.028;0;0.069;0;0.014;0.069;0.153;0.028;0.25;0;0.153;0.181
"Bradley Barcola";0;0;0.28;0;0;0.16;0;0;0;0;0.2;0;0;0.2;0.16
"Fabian Ruiz";0.061;0.242;0;0;0;0.152;0.121;0;0;0;0.212;0;0;0.182;0.03
"Gianluigi Donnarumma";0.105;0;0;0;0;0;0.316;0;0;0.316;0.158;0.053;0;0.053;0
"Kang-In Lee";0.167;0;0;0;0;0.25;0;0.167;0.083;0;0.167;0.083;0.083;0;0
"Kylian Mbappe";0.069;0.241;0.069;0;0.069;0;0.069;0;0.069;0.103;0.138;0;0;0.034;0.138
"Lucas Hernandez";0.032;0.048;0.048;0.095;0;0.016;0;0;0;0.27;0.333;0;0;0.127;0.032
"Manuel Ugarte";0.286;0;0;0;0;0;0.143;0;0.143;0.143;0.286;0;0;0;0
"Marco Asensio";0.4;0;0;0;0.3;0;0.1;0.1;0;0;0;0;0;0.1;0
"Marquinhos";0.254;0;0.014;0.113;0;0.014;0.31;0.014;0;0;0.028;0.141;0;0.07;0.042
"Nuno Mendes";0;0.119;0.149;0.015;0.045;0.104;0.209;0.03;0;0.075;0;0.045;0;0.194;0.015
"Ousmane Dembele";0.333;0.03;0.061;0;0.121;0.061;0;0;0;0.121;0.03;0;0;0.121;0.121
"Randal Kolo Muani";0;0;0;0;0.5;0.5;0;0;0;0;0;0;0;0;0
"Vitinha Ferreira";0.085;0.102;0.085;0.017;0.017;0.017;0.119;0;0.017;0.22;0.136;0.085;0;0;0.102
"Warren Zaire-Emery";0.3;0.025;0.025;0;0;0.05;0.1;0;0;0.1;0;0.25;0;0.15;0
