"";"Alphonso Davies";"Eric Dier";"Harry Kane";"Jamal Musiala";"Joshua Kimmich";"Kim Min-jae";"Konrad Laimer";"Leon Goretzka";"Leroy Sane";"Manuel Neuer";"Noussair Mazraoui";"Raphael Guerreiro";"Serge Gnabry";"Thomas Muller"
"Alphonso Davies";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Eric Dier";0;0;0.014;0.054;0.014;0.176;0.135;0.108;0.041;0.176;0.189;0.095;0;0
"Harry Kane";0;0.091;0;0.091;0.273;0.091;0.091;0;0.273;0;0;0.091;0;0
"Jamal Musiala";0;0.071;0.071;0;0.286;0.071;0.071;0.107;0.036;0.036;0.107;0.036;0;0.107
"Joshua Kimmich";0;0.098;0.033;0.131;0;0.246;0.23;0.066;0.049;0;0;0.049;0.016;0.082
"Kim Min-jae";0;0.186;0.014;0.029;0.186;0;0.214;0.1;0.014;0.143;0;0.014;0.014;0.086
"Konrad Laimer";0;0.127;0.014;0.127;0.225;0.197;0;0.099;0.042;0.014;0.042;0.042;0;0.07
"Leon Goretzka";0;0.128;0.077;0.026;0.103;0.077;0.179;0;0.077;0.026;0.282;0;0;0.026
"Leroy Sane";0;0.1;0.1;0.1;0;0.1;0.1;0.1;0;0;0.15;0;0;0.25
"Manuel Neuer";0;0.296;0;0;0.074;0.222;0.111;0.111;0;0;0.074;0.111;0;0
"Noussair Mazraoui";0.024;0.31;0.071;0.095;0;0;0.095;0.095;0.095;0.024;0;0.143;0;0.048
"Raphael Guerreiro";0.033;0.333;0.1;0.1;0;0;0.167;0;0;0.033;0.2;0;0;0.033
"Serge Gnabry";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Thomas Muller";0;0;0.08;0.28;0.28;0.12;0.04;0.08;0.08;0;0.04;0;0;0
