"";"Emre Can";"Gregor Kobel";"Ian Maatsen";"Jadon Sancho";"Julian Brandt";"Julian Ryerson";"Karim Adeyemi";"Marcel Sabitzer";"Marco Reus";"Marius Wolf";"Mats Hummels";"Niclas Fullkrug";"Nico Schlotterbeck";"Youssoufa Moukoko"
"Emre Can";0;0.062;0.156;0.125;0.156;0.125;0;0;0;0;0.094;0.094;0.188;0
"Gregor Kobel";0;0;0.2;0;0;0.08;0;0;0;0;0.52;0;0.2;0
"Ian Maatsen";0.139;0.083;0;0.028;0.194;0;0.306;0;0.028;0;0.056;0;0.167;0
"Jadon Sancho";0.12;0;0.1;0;0.08;0.28;0.02;0.1;0.02;0.06;0.12;0.04;0.04;0.02
"Julian Brandt";0.148;0.037;0.222;0.148;0;0.074;0.074;0.074;0;0;0.111;0;0.111;0
"Julian Ryerson";0.083;0;0;0.438;0.042;0;0.021;0.062;0;0;0.208;0.125;0.021;0
"Karim Adeyemi";0.176;0.059;0.412;0.059;0.235;0.059;0;0;0;0;0;0;0;0
"Marcel Sabitzer";0;0.053;0.053;0.263;0.158;0.105;0.105;0;0;0;0.105;0.105;0;0.053
"Marco Reus";0;0;0;0.5;0;0;0;0;0;0;0;0;0;0.5
"Marius Wolf";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Mats Hummels";0.023;0.14;0;0.209;0.093;0.302;0.023;0.116;0;0;0;0.023;0.07;0
"Niclas Fullkrug";0;0;0.071;0.143;0.214;0.071;0.143;0.286;0;0;0.071;0;0;0
"Nico Schlotterbeck";0.032;0.355;0.226;0.032;0.065;0;0.065;0.032;0;0;0.129;0.065;0;0
"Youssoufa Moukoko";0;0;0;1;0;0;0;0;0;0;0;0;0;0
