"";"Achraf Hakimi";"Beraldo";"Bradley Barcola";"Fabian Ruiz";"Gianluigi Donnarumma";"Kylian Mbappe";"Lucas Hernandez";"Marquinhos";"Nuno Mendes";"Ousmane Dembele";"Randal Kolo Muani";"Vitinha Ferreira";"Warren Zaire-Emery"
"Achraf Hakimi";0;0.037;0;0.056;0.019;0.074;0.019;0.056;0.019;0.389;0;0.093;0.241
"Beraldo";0.029;0;0;0.057;0.029;0.057;0;0.143;0.343;0.057;0.029;0.229;0.029
"Bradley Barcola";0.045;0;0;0.136;0;0.318;0;0;0.182;0;0;0.318;0
"Fabian Ruiz";0.05;0.05;0.05;0;0;0.175;0.05;0.025;0.325;0.1;0.025;0.15;0
"Gianluigi Donnarumma";0.154;0.308;0;0;0;0.077;0.154;0.077;0.154;0;0;0.077;0
"Kylian Mbappe";0.115;0;0.077;0.077;0;0;0.038;0.077;0.115;0.231;0.038;0.077;0.154
"Lucas Hernandez";0.036;0;0.071;0;0.071;0;0;0.393;0.25;0;0;0.143;0.036
"Marquinhos";0.268;0.196;0;0;0.018;0;0.161;0;0.036;0.143;0;0.054;0.125
"Nuno Mendes";0;0.033;0.23;0.295;0;0.033;0.098;0.049;0;0.016;0.049;0.148;0.049
"Ousmane Dembele";0.333;0.042;0;0.083;0;0.062;0.021;0.167;0;0;0;0.125;0.167
"Randal Kolo Muani";0;0;0;0;0;0.5;0;0;0.25;0;0;0.25;0
"Vitinha Ferreira";0.081;0.113;0.113;0.097;0.016;0.081;0.016;0.145;0.081;0.113;0.048;0;0.097
"Warren Zaire-Emery";0.156;0.067;0;0.044;0.022;0.067;0.089;0.156;0;0.222;0;0.178;0
