"";"Achraf Hakimi";"Beraldo";"Bradley Barcola";"Fabian Ruiz";"Gianluigi Donnarumma";"Goncalo Ramos";"Kang-In Lee";"Kylian Mbappe";"Marco Asensio";"Marquinhos";"Nuno Mendes";"Ousmane Dembele";"Vitinha Ferreira";"Warren Zaire-Emery"
"Achraf Hakimi";0;0.034;0;0.034;0.011;0;0.08;0.023;0;0.193;0;0.42;0.091;0.114
"Beraldo";0.034;0;0.011;0.114;0.057;0;0.011;0.023;0.011;0.409;0.216;0;0.091;0.023
"Bradley Barcola";0;0;0;0;0;0;0;0.182;0.091;0;0.273;0;0.455;0
"Fabian Ruiz";0.095;0.19;0;0;0;0.071;0;0.262;0;0.024;0.262;0;0.095;0
"Gianluigi Donnarumma";0.167;0.389;0;0;0;0;0;0;0;0.222;0.222;0;0;0
"Goncalo Ramos";0.111;0;0;0.222;0;0;0;0.111;0;0.111;0;0;0.222;0.222
"Kang-In Lee";0.643;0.071;0.071;0;0;0;0;0;0.071;0.071;0.071;0;0;0
"Kylian Mbappe";0;0;0;0.286;0;0;0;0;0.048;0.095;0.143;0.143;0.238;0.048
"Marco Asensio";0;0.1;0.1;0;0;0;0;0.1;0;0;0.4;0;0.3;0
"Marquinhos";0.307;0.341;0.011;0.045;0.045;0;0.023;0;0;0;0.011;0.091;0.034;0.091
"Nuno Mendes";0.015;0.354;0.062;0.062;0;0.015;0.015;0.108;0.046;0.123;0;0.015;0.154;0.031
"Ousmane Dembele";0.333;0;0.026;0.051;0;0.026;0.026;0.051;0;0.103;0.051;0;0.077;0.256
"Vitinha Ferreira";0.14;0.088;0.035;0.088;0;0.053;0.035;0.088;0.035;0.105;0.193;0.07;0;0.07
"Warren Zaire-Emery";0.275;0.125;0;0.1;0.05;0;0;0;0.025;0.15;0.025;0.125;0.125;0
